Intent,Sentence
0,If you don't know them they were probably just impressed with your reviews and didn't want to miss any of your app activity!
0,"If you don't see the Highlights view yet, you can expect to see it very soon as we roll out the feature to everyone."
0,"If you don't think you'll have your book finished in time we don't want you to miss out on this fantastic sale, so until 30 June 2012 you can purchase one of our Gift Vouchers at 20% off*."
0,"If you don't want the government to get your $ interest free, but are aware that you may owe $ later on (April 15th), then claim a higher number of dependents and married and jointly."
0,"If you don’t have enough transaction history built up in your HelloWallet account at this time, don’t worry, there are still plenty of ways we can help this year, and by this time next year, you’ll have enough history to review."
0,If you would like to change your e-mail address then log on to Pogo.com and update your account information.
0,"Instead, I want to meet with Frank Vickers and Ed Baughman (I have known both for years and we get both gas and power covered) either Friday afternoon or Monday to go over the presentation in person and get their thoughts and input (Rahil included)."
0,"Later, if you do decide to try again, work closely with your health care provider to lower the risks."
0,My WORD as a Christian man is to utilize the 5.8 million dollars that you will donate to me towards the church and if you allow me I have another church in mind that I will like to donate to.
0,Normally we would like to come in for an introduction meeting ( 1 1/2 hours) to get the basic concepts covered and then talk about what our e-Risk Practice does.
0,Notice that I'm not volunteering to make that phone call.
0,"On December 7th, we would like to remember and honor the brave men and women who lost their lives in the attack at Pearl = Harbor."
0,"SInce there are at least 2 sbeck's here, have you thought about adopting use of your long name address rather than the shorter version to help in further differentiating between us?"
0,So now you don't have to go digging around for a comment when you're on a client call.
0,Sorry about the long-winded voice mail.
0,"Specifically, we are looking for names and addresses of the following:"
0,Sure to please even those who shy away from most mod decor.
0,Tana will attend.
0,"The Latest Gadgets, Buy Now or Wait?"
0,"The sense of urgency for getting this in ""the mix"" is not as high as it was yesterday, though we'll still need to introduce it at some point very soon."
0,"The sense of urgency for getting this in the mix is not as high as it was yesterday, though we'll still need to introduce it at some point very soon."
0,These funds can be deposited directly into your account withno financial or employment verification by tomorrow.
0,This is reminder that your free 14 day trial will come to an end in 2 days.
0,Timeless pieces you'll enjoy now and for years to come.
0,We can make it easy for you.
0,We can make this work either way.
0,We can ship to you or your grad.
0,"We should cast a little broader net on this internally--Yoder, Calger, Belden, Foster, Sanders, etc.--but seems that, given the Governor's actions as of late, the likelihood of nonpayment might even be a bit higher than 25%."
0,We stopped by to see Kirk and Sue and I had them give Jerry a call on the phone.
0,We want to reward you for doing what you love.
0,We want to take this opportunity to highlight some of the key changes and what they mean for you.
0,We will also be discussing suggested promotions during this meeting as well.
0,We will update both schedules in the future for all deals originated whether value was originated or not.
0,We will update tomorrow!
0,We'll have to wait til Mark Greenberg gets in tomorrow.
0,We'll see you tomorrow.
0,What time do you get home from school.
0,"What, why, who are you #ProudToLove?"
0,"When you SOW A $365 FAITH SEED, let me tell you what I am going to do… • I will place your name in my Bible for the next year."
0,"With Textfree you get FREE unlimited texts and pics, plus make phone calls."
0,"With a small group, your talk can be informal and you do not need to prepare slides (unless you would like to do so)."
0,"With the energy crisis in California at this time, we will need to be extra careful with nominations at Socal and throughout the west to ensure that we continue to provide the excellent nomination service that we have been providing to our customers."
0,"You deserve to have a happy Sunday afternoon, and we hope this $100 Walgreens card can make that happen!"
0,You don't have to take a day off to attend workshops.
0,"The CODnapper and his team of associates rescue unsuspecting fans from their &ldquo;to do&rdquo; lists and everyday chores and deliver them to an oasis known as Onslaught, the first downloadable content pack available for Call of Duty: Ghosts."
0,There's a meeting with a cast of characters to discuss the Westinhouse warranty issues.
0,Let us help you find the right health insurance plan for you and your family.
0,"However, if you want to follow Cheryl S click the link below to go to their profile to follow them back."
0,If you would like to be taken off of ALL future mailings from Santander with one-click:
0,U can hit me u later on if u wanna.
0,YOU HAVE HELPFUL OPTIONS IF YOU'D LIKE TO POSTPONE YOUR STUDENT LOAN PAYMENTS FOR 12 MONTHS.
0,The Lord told me that my 300 CLOSEST FRIENDS and PARTNERS WHO RESPOND FIRST are going to experience this UNIQUE 365-DAY MIRACLE.
0,"• Whether you’re on your desktop, your mobile device, or your tablet, Unroll.me is there for you with our new responsive design."
0,The Sender and Subject tabs let you quickly act on batches of related email.
0,If you would like to download the SpotCha!
0,"So much happens on Twitter every day, whether it's breaking news, a deal at your favorite shop, a local traffic jam or a funny pick-me-up from a friend."
0,You not emailing me.
0,How much will your donation cost me?
0,"So, especially given the post-9/11 logistics, it doesn't seem practical for me to come to Dallas for this meeting."
0,I think that moving forward in my new job will not allow me the time to continue our sessions.
0,Why won't they let you go to the Corp. conference?
0,"So rather than discuss the transition, Kevin had to react to and absorb this as a possibility."
0,Sean paid me for his and Molly's dinner and Eldon and Nancy will pay me for theirs.
0,Let us give you one less thing to worry about.
0,You can go through the prompts if you would like to take this bonus.
0,Everything given to me for you guys was actually wholesale stuff.
0,I'll forward you a note from Sue to Rosie (and me) that you weren't on.
0,Read me: Four social-media sites for bookworms
0,"The sort of pick-me-up every sofa, bed, and chaise needs right around now."
0,Hurry below and choose a reward you'd like to earn.
0,"If you would like to opt in, click the link below."
0,Ignore me once and I'll ignore you forever bye.
0,"I am copying her on this email so that if I am mistaken, she can let me know."
0,"You can use LINE both on iPhones and Androids, download it from here and add me as a friend."
0,Well let me tell you...
0,And if you try to tell me coffee isn't healthy I WILL call you a fucking communist.
0,Help Me Help You
0,Let me just download the new app.
0,Let me sum this up real quick…
0,"Will she buy me some toys - a motorcycle, let me get my flying licenses, and a cheaper 4 wheel drive vehicle?"
0,"Call Me Maybe: Military Version ericraum | July 4, 2012 $LINK"
0,Dr. Tomorrow.......my names for a girl.....can you help me....... 45 Votes $LINK
0,Hey call me brothers!😇✈🍟🍗🍖
0,"If you enjoy our apps and want to help us to continue to improve our products, please leave us a good review on the App Store.\n\nEnjoy and happy collecting!\n\nEthan C. Allen\nSort It Apps, LLC - Founder\n\nIf you don't want to hear from me anymore, just go here: $LINK"
0,Let me call him
0,This might be one of those let me get Alan to help me for a free lunch things.
0,call me crazy 4 Comments $LINK
0,please follow me.
0,"...And if you'd like me to answer your question on a video or podcast, please fill out this short survey."
0,"3. We are just getting ramped up, so please bear with us."
0,@LILBTHEBASEDGOD PLEASE TELL ME WHY LIL B SOOOOOO RAW!?
0,"Actually, you could set the priorities for us."
0,Am I going to get an eye infection if I continue to wear your sunglasses around town?
0,"As well, to reduce the conflict between the trading and origination organizations in order to keep us spending more time in the market than focused on internal issues."
0,Attached please find the modified Transaction Agreement which has been revised to reflect the matters you discussed earlier today.
0,"Best place to stay--given where you need to be---but sometimes a bit difficult to get in to, is the Park Hyatt."
0,Both test came back abnormal and I am seeing a specialist this week to determine if I need to have a biopsy or not.
0,But I would like to go out on what u might say a date when I get back.
0,"But you have to search now to let us know you want to win this amazing vehicle — worth over $38,OOO.OO!"
0,"Calif GOP Lawmakers Ask PUC President To Resign Updated: Tuesday, March 20, 2001 02:14 PM?ET ?"
0,Conference room set up for company annual meetings
0,Do you want to help people?
0,Do you want to make a difference?
0,Does 1PM west coast time work for folks to have a brief kick-off discussion of how we might assess the costs of a California for Californians energy policy?
0,Give 21st Century Auto Insurance a call at 800-493-9489 - we'll try to lower your quote even more by seeing if you qualify for additional discounts.
0,Go get 'em Tiger.
0,"Hannah, certain events in our lives should give us reason to pause; on these moments, consider the protection you could get through life insurance."
0,He didn't get it and we need to get that fixed asap.
0,How do you make those ham and tortillia thingys?
0,How would you spend this 100 dollars once it's in your hands?
0,I am going to get fucked on broker gifts this X-mas.
0,I am going to get much closer to the model this time than last because of the turnover due to Robert and Joana moving on.
0,I am writing to each of you because I need you to be in prayer with me this week.
0,I haven't met Kevin yet so if you could mention this to him I would appreciate it.
0,"I haven't played softball in a long time, and this is a good way for me to get to know the people that i work with."
0,"I hope you can help, we look forward to arranging your live training, and receiving any great photos you want to send."
0,I just want to make sure that Rosie doesn't get all crossed up with many of us sending her stuff.
0,I must reiterate to ALL Members that i certainly don't like to hear this even from One single member therefore i have decided to hold a Live Training Event.
0,I plan to get off @ 4pm and check in the hotel a.s.a.p.
0,I want to get Lee into this also.
0,I want to get a feel for what we have done and set some goals as to what needs to be done.
0,I want to make sure I'm doing everything I can to help you.
0,I want to make sure we have covered all of the counterparties.
0,I was wondering why I wasn't getting any mail.
0,I will call ISDA and try to get a read on what ISDA wants to do which is not clear at this point.
0,I would like to get that from VNG.
0,"I'd like to get as diverse a group of co-sponsors as possible, and as many as possible."
0,I'd like to get that available for my trip to Houston next wk.
0,I'll call them tomorrow.
0,I'm available at 8 am (do while you're driving?) and will make my schedule flexible in the afternoon.
0,"I'm reading this story, I think you would like it!"
0,I'm writing to apply for the marketing internship at BookVibe.
0,"I've always wanted to work with books and around the publishing process, and I would love to have some experience in the field."
0,"If the enclosed meets with your approval, please have the agreement executed and return a copy to me via fax no."
0,If you can add this feature I promise to give this app a 5.
0,If you can interview well and prepare for the onsloaught of questions and inquiries you may be able to land the job.
0,"If you create them all on page 4, all will point to page 4. Try to go to page 2, create one and then go to page 10 create one."
0,"If you do encounter ""work"" via email or are faced with any ""work"" at all, then to purge the virus, send an email to your boss with the words ""I've had enough of your crap... I'm off to the bar."""
0,"If you download any of these versions to your device, you’ll be able to read it anytime, anywhere—even when you can’t connect to your service provider or to the Internet."
0,"If you enjoy Inkflow, please take a moment to rate it again in the App Store."
0,"If you estimate this comment useless, please leave us a message!"
0,"If you ever change your mind and want to give Pinger another try, you can always get a new number."
0,"If you ever change your mind and want to give Textfree another try, you can always get a new number."
0,"If you find a bug, or anything acting weird please send an email to info@jeeosuite.com."
0,If you find our email in your spam folder please press the 'not spam' button.
0,"If you have been unable to find or qualify for the perfect card, please visit below for more results."
0,"If you need assistance, write to help@coinkeeper.me"
0,"If you smoke, use alcohol or take illegal drugs, so does your unborn baby."
0,"If you use Pinger to text and call people who are NOT using Pinger, you might want to keep your Pinger number (276) 243-1628 active."
0,"If you use Textfree to text and call people who are NOT using Textfree or Pinger, you might want to keep your Textfree number (276) 690-7548 active."
0,"If you use Textfree to text and call people who are NOT using Textfree or Pinger, you might want to keep your Textfree number (832) 301-8746 active."
0,"If you want to get him/her back on air, just click on the icon again."
0,If you want to learn more about our products visit mobile.intersog.com.
0,"If you want to make adjustments, just launch the M.dot app to edit your site."
0,If you want to make more than you know what to do with…
0,"If you want to resend your commands, send them to lyris@aallnet.org"
0,"If you win, you'll be able to do special things for people you care about, to free yourself and your family from financial worries -- and to splurge on life's luxuries."
0,"If you wish to continue, please follow the link below:"
0,"If you would prefer a different card, you can view those other options immediately, as well."
0,"If you would still like to shop for a vehicle, you can re-apply at www.RoadLoans.com"
0,If you'd like to get some hands on tips and advice for using Zapier just add this event to your calendar for next Wednesday .
0,"If you'd like to turn off these messages, please visit your notification settings."
0,"If you'd like to update your email preferences, please visit:"
0,"If you'd prefer to discontinue via mail request, please send to:"
0,"In the old days, you could only flow 7/12 of the MDQ from secondary points."
0,Is it possible to get some idea of exactly what the amount to be refunded is? Thanks so much again for your help.
0,Jus call me Nessa ♌ @finesse__ah
0,"Learn how to carve a turkey, or if you’re hungry for some escapism post-feast, we can help."
0,Millions of businesses desperately need your help and the valuable services you could provide them if you want to.
0,Next week I can give you more info on that.
0,"Or maybe you have personal goals you want to keep, well, personal."
0,"Passwords are a fact of life and we've all had some bad ones, but if you use one of the following 25 password you might want to rethink your strategy!"
0,See the email below for the ID and password.
0,Sharon Jones & The Dap-Kings - Give the People What They Want: $LINK
0,Show us that you want to win by clicking below.
0,Some content has specific hardware or software requirements; please review product information before purchasing.
0,"Specifically, we buy/sell gas at the Exxon Katy Plant and were wondering the ""Force Majeure"" ramifications of the the Plant closing due to freeze-offs, i.e. can we claim Force Majeure in that instance and what remedies are provided for in the EOL contract language?"
0,"Specifically, we buy/sell gas at the Exxon Katy Plant and were wondering the Force Majeure ramifications of the the Plant closing due to freeze-offs, i.e. can we claim Force Majeure in that instance and what remedies are provided for in the EOL contract language?"
0,Sticker Pop Quiz: Can you guess what's that movie or tv show in this emoji icon word game? 1.1 Device: iOS Universal Category: Games Price:...
0,Tell us what you buy Jude Spear!!!
0,Thanks Bill--see my other email.
0,"The cost of materials includes the bridge, should I order redwood for the deck amd have it delivered?"
0,"The event will be in April; of course depending on her schedule this can change, but we have reserved the Snowmass Conference Center for the 19th."
0,"The upstairs is untouched, however, so you can make yourselves at home."
0,"Then, if you'd like, answer a few questions about your goals, and we'll point you toward some tools you might be interested in."
0,There is a lot of pessimism in the distributed energy community right now ?
0,"This house was by far the nicest and best bang for your buck, but in a suspect neighborhood - it looks like they are building a lot of townhouses close though check it out . . ."
0,"Until August 31st, you will be able to download and save all your videos onto your iOS mobile device."
0,We hope you find something you like!
0,We would like to connect you with credit card companies who are offering credit cards that might be a great match for your needs!
0,"Whether you want to give the gift of organization or make your own life a little simpler, it's the best time of the year to get Neat!"
0,Wish I could send you with a shopping list for me!!
0,"Wow, can you believe only a week?"
0,You can even input a particular OfficeDrop folder where you'd like to send the file.
0,"You can get good speaker packages, but many of them are not really good."
0,You need more resources immediately from inside.
0,"You will be contacted as soon as possible after June 23, 2000 to notify you of those requests that have been approved."
0,"Your request to track Phototranslator for iPhone was received, please follow the link below to activate your deal alert:"
0,Z0 or Zl to Broad Run: I can give you $.18 ($.16 demand/$.02
0,"\n\nRemember, the sale is for this weekend ONLY!\n\nEnjoy and happy collecting!\n\nEthan C. Allen\nSort It! Apps - Founder\n\nIf you don't want to hear from me anymore, just go here: $LINK"
0,"again and happy collecting!\n\nEthan C. Allen\nSort It Apps, LLC - Founder\n\nIf you don't want to hear from me anymore, just go here: $LINK"
0,"gallery are great, and I'd like to know when you post more."
0,"photos have a new home, we'd like to help you get to know Revel."
0," If you activate your account today, you can claim one of the offers below:"
0,&quot;I would like to thank both agents Charles and Conroy for their help and patience.
0,&quot;The guy that assisted me with my booking was awesome.
0,"* If you delete a photo by accident, you can restore it from the SnapSync website."
0,"* If you edit the map, when you return to Files view you can either discard your changes, or save it as a new map"
0,* If you want to check out a map manually...
0,* Press the name of the account you want to access
0,* Tap the command you want to use
0,*** BREAKING NEWS: President Obama Marks Independence Day: Thanks America's Military $LINK
0,*iOS 7 compatible!*Now able to set a personalized PIN code for your Neat account*Improved naming of documents in NeatCloud*Bug fixes and other improvements
0,- How senses help you discover the world
0,"- Last week, by 3pm on Friday, most of my team members had sent me their status reports for the week."
0,- Must be able to work at least 30 minutes a day
0,- Offer valid until the 31st of March
0,- Revel is now free to use.
0,-Free Delicious Thanksgiving Recipes from Bisquick
0,-Free HUGE Box of Product Samples from 1 Year Giveaway
0,-Good Morning America
0,2 DAYS TO SAVE!
0,"2) On Thanksgiving, we want to take the opportunity to say thanks to you for being a LivingOrganized customer."
0,30-45 minutes a day to set
0,5. mailto:support@mycabinet.me
0,7-Eleven: Today Only! Free Small Slurpee
0,99-Hour $99 or Less Sale! Hurry Offers End at Midnight Tomorrow!
0,@DupreeDiamond2 can't wait to hear the I couldn't use my phone AND the computer you LENT me 2 weeks ago FOR ONE NIGHT stopped with the web
0,"A California native now based in San Antonio, Megan Rice Yager brings a fresh perspective to classic style."
0,A FREE lunch will be provided in the park after the game.
0,A Father's Day gift he'll open every day.
0,A W4 calculates how much federal tax to withhold from your paycheck each pay period.
0,A condition of all permitting issues is that the carbs are not supposed to be installed on the units (preconstruction) until approval has been given by the agency.
0,A construction permit application for installation of an SVE remediation system for the North Crawar C/S was mailed to the TNRCC.
0,A day trader might think you were talking about a weekly profit rather than annual.
0,"A few thoughts, see you tomorrow."
0,A few weeks ago I put together a list of key individuals for you to meet when you do come to Houston.
0,A follow-up on our discussion concerning the wisdom of IMF recommendations for Russia.
0,A huge thank you to our friends at Gap and the Ellen Degeneres Show for featuring Gyft this week.
0,A lot of me into it.
0,A meeting has been scheduled on 3/16 with the California Fish and Game to discuss the following issues: 1)presentaiton of the 1999 and 2000 annual reports which are required by the facility's 2081 permit.
0,A plethora of picks sure to please your pooch.
0,A presentation was given to the Transwestern Marketing Group in Houston over the PCB issues affecting sales of natural gas into western markets.
0,"A reminder: 900am Monday, my office."
0,"A slew of new power control, management, transmission and storage technologies are becoming available in the power marketplace to reduce congestion, enhance performance and improve reliability."
0,"A sound was played on iPod touch at 8:01 PM on March 8, 2013."
0,A spirited selection to please fledgling oenophiles and connoisseurs alike.
0,"A time for the sale hasn't been specified yet, but would probably coincide with convention registration and check-in."
0,AND WE CAN REMIND YOU ABOUT THEM
0,"About its botanic constitution, instead, until the late 18th century the strangest theories continued to be produced."
0,"According to David Scott at New Power, they did not make any adjustments to the bill."
0,"According to the TNRCC, they will allow this activity provided that the above is true and that we prove that emissions and horsepower will not increase."
0,"According to the contract, when volumes are overdelivered, HPL buys the gas at GD-.10."
0,Act Now to show us you want to win!
0,"Add butter, season with nutmeg and toss together."
0,"After all requests are received, we will review the request and make a determination on granting compression based on capacity available and the capacity requests."
0,"After graduating form high school, I took a semester off for personal reasons, and during this time I began to read again; however, I had difficulty in finding books to read, which led me to looking for the best sellers list."
0,"After making a few changes, AA should be forwarding to you a copy of the draft document later this afternoon."
0,"After reveiwing the documents entitled, ""Baseline Environmental Investigation of Arco North Coles Levee Plant 8, Rogas Loading Facility and Associated Natural Gas Pipeline Systems Kern County, California"" and ""Report of Preliminary Asessment Sampling North Coles Levee Gas Plant Loading Rack Area Tupman, California"", it appears that the following areas should be investigated further to detemine horizontal and vertical extent of identified contamination from the above referenced reports:"
0,"After reveiwing the documents entitled, Baseline Environmental Investigation of Arco North Coles Levee Plant 8, Rogas Loading Facility and Associated Natural Gas Pipeline Systems Kern County, California and Report of Preliminary Asessment Sampling North Coles Levee Gas Plant Loading Rack Area Tupman, California, it appears that the following areas should be investigated further to detemine horizontal and vertical extent of identified contamination from the above referenced reports:"
0,"Agree that humor is needed right now, though it's in short supply, so to speak...."
0,Alan: This makes sense to me.
0,Alert - ...A RIVER FLOOD WARNING HAS BEEN ISSUED FOR...THE MANATEE RIVER AT MYAKKA HEAD...LITTLE MANATEE RIVER AT WIMAUMA AND CYPRESS CREEK AT WORTHINGTON GARDENS... .HEAVY RAINFALL OVER THE PAST SEVERAL DAYS COMBINED WITH CONTINUED STORMS TODAY AND TOMORROW WILL ALLOW FOR SOME LOCAL RIVERS TO RISE TO FLOOD STAGE OVER THE NEXT COUPLE OF DAYS.
0,"Alice, for the employee we discussed last week, here is information on payee."
0,All business voice mail messages require a prompt response from our business unit.
0,"All of these technologies will be added to an ever-growing traffic flow of email, messaging, searches, and business communications."
0,"All this said, and budget haggling aside, I'm sure you're aware that it's my view that 1) you do fantastic work and 2) it's great to work with you."
0,"Allyson says we can scratch around in the dirt a bit (I'm paraphrasing), so I'm sure some site preparation is ok."
0,"Along with our launch today, we wanted to let you know we've also updated our privacy policy."
0,Already have an outstanding costume for a Halloween night?
0,Also I have some reading for you tonight - The Skiliing Story is all over the Gas Market.
0,Also discussed was NSPS fuel gas monitoring for nitrogen and sulfur and other miscellaneous air issues.
0,Also discussed was the permitting approach which will be followed for the approval to install micro pre combustion chambers on two White units which were found to be out of compliance with the air permit emissions limits when the New Mexico Air Quality Bureau conducted a surprise inspection at the facility.
0,"Also for your information, we are working on 2 acquisition deals that will be coming out soon, 1 is to buy a mill and coul d be announced next week, which will also clarify and add to the story since we will have access to physical pulp and paper."
0,Also how fast does this machine get to.
